"id","name","description"
"__export__.operational_capability_17_007b95e6","#Gestión_de_activos","Los datos, el personal, los dispositivos, los sistemas y las instalaciones que permiten a la organización lograr sus propósitos comerciales se identifican y gestionan de manera consistente con su importancia relativa para los objetivos organizacionales y la estrategia de riesgo de la organización."
"__export__.operational_capability_18_78b50079","#Protección_de_la_información","La protección de la información aplica soluciones de seguridad y otras tecnologías, así como procesos y políticas, para proteger la información."
"__export__.operational_capability_19_3ea2b0e9","#Seguridad_de_recursos_humanos","Incluye selección de personal, términos y condiciones de empleo, concientización sobre seguridad de la información, educación y capacitación, proceso disciplinario, responsabilidades después de la terminación o cambio de empleo, acuerdos de confidencialidad o no divulgación, proceso disciplinario."
"__export__.operational_capability_20_76627073","#Seguridad_física","Incluye perímetro de seguridad física, entrada física, seguridad de oficinas, salas e instalaciones, monitoreo de seguridad, amenazas físicas y ambientales, trabajo en áreas seguras, política de escritorio y pantalla despejados, ubicación y protección de equipos, seguridad de activos fuera de las instalaciones, medios de almacenamiento, servicios de soporte, seguridad del cableado, mantenimiento de equipos, eliminación o reutilización de equipos."
"__export__.operational_capability_21_39ac8f0d","#Sistema_y_red_seguridad","Protección de la infraestructura de red contra acceso no autorizado, mal uso o robo. Implica crear una infraestructura segura para que los dispositivos, aplicaciones, usuarios y aplicaciones funcionen de manera segura. La seguridad de la red combina múltiples capas de defensas perimetrales y en la red. Cada capa de seguridad de la red implementa políticas y controles. Los usuarios autorizados obtienen acceso a los recursos de la red, pero los actores maliciosos no pueden ejecutar exploits y explotar vulnerabilidades."
"__export__.operational_capability_22_74a9f4e4","#Seguridad_de_aplicaciones","La seguridad de las aplicaciones es el proceso de desarrollar, agregar y probar funciones de seguridad dentro de las aplicaciones para evitar vulnerabilidades de seguridad y mitigar amenazas como el acceso y la modificación no autorizada de recursos."
"__export__.operational_capability_23_f14a2282","#Configuración_segura","La configuración segura se refiere a las medidas de seguridad que se implementan al construir e instalar computadoras y dispositivos de red para reducir vulnerabilidades cibernéticas innecesarias. Las configuraciones inseguras son una de las brechas más comunes que los piratas informáticos buscan explotar."
"__export__.operational_capability_24_b089b663","#Gestión_de_identidades_y_accesos","El acceso a los activos físicos y lógicos y a las instalaciones asociadas está limitado a usuarios, procesos y dispositivos autorizados, y se gestiona de manera consistente con el riesgo evaluado de acceso no autorizado a recursos y transacciones."
"__export__.operational_capability_25_c0801013","#Gestión_de_amenazas_y_vulnerabilidades","La gestión de vulnerabilidades es un proceso continuo, proactivo y, a menudo, automatizado que mantiene sus sistemas informáticos, redes y aplicaciones empresariales a salvo de ciberataques y filtraciones de datos."
"__export__.operational_capability_26_bf6dfd75","#Continuidad","Se refiere a una planificación adecuada que garantice el buen funcionamiento y la rápida recuperación de las operaciones después de desastres naturales o provocados por el hombre, así como incidentes de ciberseguridad."
"__export__.operational_capability_27_e828573b","#Seguridad_de_las_relaciones_con_proveedores","Garantizar la protección de los activos de la organización a los que pueden acceder los proveedores de la organización."
"__export__.operational_capability_28_3c738500","#Legal_y_cumplimiento","Estándares y requisitos regulatorios establecidos por alguna agencia, ley o grupo de autoridades. Las organizaciones deben lograr el cumplimiento estableciendo controles basados en riesgos que protejan la confidencialidad, integridad y disponibilidad (CIA) de la información. La información debe ser protegida, ya sea almacenada, procesada, transmitida o transferida."
"__export__.operational_capability_29_621380ff","#Gestión_de_eventos_de_seguridad_de_la_información","Se detecta actividad anómala y se comprende el impacto potencial de los eventos."
"__export__.operational_capability_30_b967ddcf","#Garantía_de_seguridad_de_la_información","Práctica de gestión de riesgos relacionados con la información y los pasos necesarios para proteger los sistemas informáticos y redes."
"__export__.operational_capability_31_54f30e2d","#Gobernanza","Las políticas, procedimientos y procesos para gestionar y monitorear los requisitos regulatorios, legales, de riesgo, ambientales y operativos de la organización se comprenden e informan la gestión del riesgo de ciberseguridad."
