"id","color","name"
"__export__.it_components_1_b9f8a9d5","9","Windows Server 2003"
"__export__.it_components_2_90c9ac2a","8","Windows Server 2008"
"__export__.it_components_3_023ce1ac","6","Windows Server 2012"
"__export__.it_components_4_731edc81","10","Windows Server 2016"
"__export__.it_components_5_05e7d9de","7","Windows Server 2019"
"__export__.it_components_6_0c4a5dcf","3","Windows Server 2022"
"__export__.it_components_7_dccea791","4","Ubuntu 16.04 LTS (Xenial Xerus)"
"__export__.it_components_8_e97c60ac","1","Ubuntu 18.04 LTS (Bionic Beaver)"
"__export__.it_components_9_1bf65c66","2","Ubuntu 20.04 LTS (Focal Fossa)"
"__export__.it_components_10_7a252f38","9","Ubuntu 21.04 (Hirsute Hippo)"
"__export__.it_components_11_9c349173","5","Ubuntu 21.10 (Impish Indri)"
"__export__.it_components_12_2ce941a6","1","CentOS 6"
"__export__.it_components_13_71857f69","2","CentOS 7"
"__export__.it_components_14_cf15ffed","3","CentOS 8"
"__export__.it_components_15_de051d3d","4","Red Hat Enterprise Linux 6 (RHEL 6)"
"__export__.it_components_16_6e3d862b","5","Red Hat Enterprise Linux 6 (RHEL 7)"
"__export__.it_components_17_bfc5d58a","6","Red Hat Enterprise Linux 6 (RHEL 8)"
"__export__.it_components_18_ff2c8ac8","7","Oracle Solaris 10"
"__export__.it_components_19_0f063b68","8","Oracle Solaris 11"
"__export__.it_components_20_fadb132a","9","PostgreSQL 9.x Series"
"__export__.it_components_21_f20b5d0a","10","PostgreSQL 10"
"__export__.it_components_22_0955340e","11","PostgreSQL 11"
"__export__.it_components_23_52f07fef","1","PostgreSQL 12"
"__export__.it_components_24_8ab2d1ce","2","PostgreSQL 13"
"__export__.it_components_25_c826cbb0","3","PostgreSQL 14"
"__export__.it_components_26_e25e3463","4","MySQL 5.x Series"
"__export__.it_components_27_5a6630ca","5","MySQL 8.0"
"__export__.it_components_28_773e38cd","6","MySQL 8.0.23"
"__export__.it_components_29_51360dae","7","MariaDB 5.x Series"
"__export__.it_components_30_5046f7a2","8","MariaDB 10.0"
"__export__.it_components_31_0331d040","9","MariaDB 10.1"
"__export__.it_components_32_42671e26","10","MariaDB 10.2"
"__export__.it_components_33_2f75eafc","11","MariaDB 10.3"
"__export__.it_components_34_adc06263","1","MariaDB 10.4"
"__export__.it_components_35_e571e2a8","2","MariaDB 10.5"
"__export__.it_components_36_f66424bf","3","SQL Server 2005"
"__export__.it_components_37_1a514201","4","SQL Server 2008"
"__export__.it_components_38_9cf5738e","5","SQL Server 2008 R2"
"__export__.it_components_39_7af5f36e","7","SQL Server 2012"
"__export__.it_components_40_9825ca50","6","SQL Server 2014"
"__export__.it_components_41_695bf66a","8","SQL Server 2016"
"__export__.it_components_42_3d583c26","9","SQL Server 2017"
"__export__.it_components_43_a0ea9824","10","SQL Server 2019"
